FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
537,75230000,C, ,5.875,6.15,45,442.5514,5,75,Orange,5,442.551445547914
538,29020000,C, ,5.401,14.079,60,13963.6923,2,29,Columbia,2,13963.6923496662
539,60010000,C, ,17.461,18.445,45,1588.3763,3,60,Walton,3,1588.37631209013
540,29070000,C, ,23.915,24.239,45,521.2082,2,29,Columbia,2,521.208221255411
541,14000049,C, ,1.46,1.744,35,456.9742,7,14,Pasco,7,456.974182613225
542,12004000,C, ,4.777,9.57,45,7676.1828,1,12,Lee,1,7676.18281300787
543,27040000,C, ,8.548,9.058,45,820.7212,2,27,Baker,2,820.721220967572
544,87000097,C, ,0,0.514,30,829.3343,6,87,Miami-Dade,6,829.334325882525
545,37000021,C, ,0,0.331,30,540.3172,2,37,Suwannee,2,540.317198829483
546,87000400,R, ,0,0.02,30,32.379,6,87,Miami-Dade,6,32.3789716764847
547,11570000,C, ,0,9.268,55,14902.7786,5,11,Lake,5,14902.7786426289
548,75030000,C, ,4.658,6.3,35,2642.6061,5,75,Orange,5,2642.60606052812
549,11680000,C, ,1.373,2.806,45,2320.2893,5,11,Lake,5,2320.28930210758
550,11170000,C, ,0.15,0.43,40,450.5646,5,11,Lake,5,450.564621950198
551,36080000,C, ,10.02,10.171,55,242.7001,5,36,Marion,5,242.700129816082
552,75000174,C, ,0.555,1.265,25,1142.7499,5,75,Orange,5,1142.7499079879
553,75080101,C, ,0,0.902,30,1455.9535,5,75,Orange,5,1455.95348058798
554,30520000,C, ,0,3.034,55,4881.5913,2,30,Dixie,2,4881.59130468789
555,11070000,C, ,13.829,13.95,50,195.2992,5,11,Lake,5,195.299236791893
556,36600000,C, ,5.981,15.02,50,14546.197,5,36,Marion,5,14546.1970225812
557,36000132,C, ,0,0.489,30,782.835,5,36,Marion,5,782.83502780827
558,55190000,C, ,0.91,1.78,35,1400.2792,3,55,Leon,3,1400.27920252196
559,76050000,C, ,19.601,19.987,60,620.9236,2,76,Putnam,2,620.923609198824
560,26250000,C, ,3.137,4.354,35,1954.2738,2,26,Alachua,2,1954.27384487965
561,93580500,L, ,0,2.385,45,3839.7015,4,93,Palm Beach,4,3839.70145661827
562,75250002,C, ,0.923,0.948,30,40.245,5,75,Orange,5,40.2450249331203
563,87210000,L, ,0,0.184,45,296.5853,6,87,Miami-Dade,6,296.58526294408
564,29040000,C, ,10.929,11.48,55,886.4475,2,29,Columbia,2,886.447469147324
565,26050000,C, ,5.169,5.765,45,958.4719,2,26,Alachua,2,958.471868914387
566,34010000,C, ,7.3,8.079,40,1254.4988,2,34,Levy,2,1254.49882675018
567,87000119,L, ,0,0.663,30,1071.0364,6,87,Miami-Dade,6,1071.03635186505
568,94000063,C, ,0,0.75,35,1205.15,4,94,St. Lucie,4,1205.14996177538
569,87000274,C, ,1.111,1.43,30,513.9714,6,87,Miami-Dade,6,513.971354358336
570,57040000,C, ,11.747,12.119,35,600.8098,3,57,Okaloosa,3,600.809798280212
571,75024500,C, ,1.003,1.513,35,809.987,5,75,Orange,5,809.986963325424
572,11510000,C, ,5.025,6.76,55,2791.1087,5,11,Lake,5,2791.10872308949
573,11170001,C, ,0,0.053,30,85.5963,5,11,Lake,5,85.5963100869683
574,36110500,C, ,0,0.358,30,576.0727,5,36,Marion,5,576.072680366105
575,55610000,C, ,4.154,5.774,45,2612.2989,3,55,Leon,3,2612.29894659217
576,94504000,C, ,5.08,7.602,45,4075.5947,4,94,St. Lucie,4,4075.59467806026
577,94004500,C, ,0,0.752,25,1217.2348,4,94,St. Lucie,4,1217.23475211381
578,26715000,C, ,0,2.148,55,3445.6547,2,26,Alachua,2,3445.65473514924
579,75037000,C, ,2.693,3.126,45,696.3028,5,75,Orange,5,696.302786008336
580,29070000,C, ,0.4,1.6,45,1930.3248,2,29,Columbia,2,1930.32484883986
581,11130000,C, ,1,1.6,55,965.4401,5,11,Lake,5,965.440091611484
582,33510000,C, ,0,7.818,55,12561.8627,2,33,Lafayette,2,12561.8627347918
583,36655500,C, ,1.314,4.483,45,5096.4029,5,36,Marion,5,5096.40293049431
584,36000121,C, ,0,0.561,35,907.1532,5,36,Marion,5,907.153230513904
585,26650000,C, ,1.037,6.585,55,8925.3893,2,26,Alachua,2,8925.38926118919
586,87000185,R, ,0,0.165,30,268.5076,6,87,Miami-Dade,6,268.507566209793
587,93511000,C, ,0,2.28,35,3668.7236,4,93,Palm Beach,4,3668.72358621183
588,58550000,C, ,0.455,1.391,35,1510.1992,3,58,Santa Rosa,3,1510.19919972957
589,34550000,C, ,15.297,16.509,45,1950.6088,2,34,Levy,2,1950.60880227402
590,34580000,C, ,16.868,17.204,15,540.3381,2,34,Levy,2,540.338061685808
591,26040000,C, ,0,0.856,60,1378.7502,2,26,Alachua,2,1378.75020485979
592,75230101,C, ,0,0.227,25,363.0715,5,75,Orange,5,363.071468330731
593,87220000,R, ,0,0.53,45,852.9661,6,87,Miami-Dade,6,852.966078060013
594,87000209,R, ,0,1.558,40,2506.9047,6,87,Miami-Dade,6,2506.90468378141
595,30593000,C, ,4.544,5.252,35,1138.8513,2,30,Dixie,2,1138.85127035923
596,75003000,C, ,7.078,7.638,45,901.1185,5,75,Orange,5,901.118527752491
597,29030000,C, ,14.89,19.966,60,8165.9553,2,29,Columbia,2,8165.95533876102
598,29060000,C, ,8.91,9.099,55,304.1249,2,29,Columbia,2,304.124945946265
599,33010000,C, ,14.229,14.6,45,597.1334,2,33,Lafayette,2,597.133415091684
600,36009000,C, ,9.289,10.607,45,2119.1797,5,36,Marion,5,2119.17967744359
601,55670500,C, ,0,0.86,35,1390.5324,3,55,Leon,3,1390.53239525141
602,94030000,C, ,20.233,20.668,45,698.3541,4,94,St. Lucie,4,698.354076367868
603,27502000,C, ,0,3.48,55,5598.6626,2,27,Baker,2,5598.66261331796
604,29520501,C, ,0,0.1,40,167.3884,2,29,Columbia,2,167.388395905335
605,11150000,C, ,0,3.941,55,6341.7808,5,11,Lake,5,6341.78077853967
606,60020000,C, ,10.804,11.264,55,742.5678,3,60,Walton,3,742.56778451891
607,36580000,C, ,0,8.65,55,13898.5618,5,36,Marion,5,13898.5617665561
608,12000024,C, ,0,1.999,55,3164.1491,1,12,Lee,1,3164.14914300921
609,26717000,C, ,0,2.26,45,3631.2569,2,26,Alachua,2,3631.25691741423
610,87000186,R, ,0,1.184,40,1899.6757,6,87,Miami-Dade,6,1899.67573923336
611,37000007,C, ,0,3.8,30,6092.4442,2,37,Suwannee,2,6092.44424351091
612,93260000,C, ,0,6.076,50,9778.9828,4,93,Palm Beach,4,9778.98281208915
613,34660000,C, ,0,2.316,45,3727.2707,2,34,Levy,2,3727.27066987595
614,75020000,C, ,17.738,18.925,45,1910.3306,5,75,Orange,5,1910.33057104344
615,35000002,C, ,0,2.883,35,4639.2287,2,35,Madison,2,4639.22867009181
616,93140000,C, ,20.525,26.288,55,9274.139,4,93,Palm Beach,4,9274.1389538433
617,36180000,C, ,13.903,14.003,55,161.2134,5,36,Marion,5,161.213393701431
618,75250000,C, ,1.155,1.901,40,1200.0279,5,75,Orange,5,1200.02792752214
619,87250000,L, ,5.171,5.313,40,228.3808,6,87,Miami-Dade,6,228.380807446317
620,75130100,C, ,0,0.182,35,291.4474,5,75,Orange,5,291.447436288272
621,30010000,C, ,17.132,18.25,45,1799.8311,2,30,Dixie,2,1799.83113693414
622,75000145,R, ,0,0.46,40,739.5022,5,75,Orange,5,739.502248906158
623,33505000,C, ,0,0.111,20,178.7366,2,33,Lafayette,2,178.73658349136
624,34580000,C, ,0,15.512,55,24947.9887,2,34,Levy,2,24947.9887122172
625,26060000,C, ,10.295,11.883,45,2554.8007,2,26,Alachua,2,2554.80066044127
626,87000063,L, ,0,0.076,40,123.1123,6,87,Miami-Dade,6,123.112292532668
627,94000008,C, ,1.81,2.205,35,637.1094,4,94,St. Lucie,4,637.109375653954
628,87000239,L, ,0.467,0.65,30,294.0673,6,87,Miami-Dade,6,294.067344189582
629,30592000,C, ,0,2.5,45,4031.1553,2,30,Dixie,2,4031.15531665452
630,75008000,C, ,11.674,11.813,65,223.4389,5,75,Orange,5,223.438931193344
